0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.719143480735030205e-03 1.251886841459544202e-03 2.165222665214227953e-04 2.570377144722327931e-05 2.119764153188405857e-06
1.395867360728912654e-02 6.514712841241186714e-03 2.069215601228057474e-03 4.839603253335272295e-04 8.536756136903285365e-05
1.867575733106060371e-02 9.987593943440424213e-03 3.645834900820203294e-03 9.892508900475271115e-04 2.036815452913496075e-04
2.450888054291506385e-02 1.478330489746393882e-02 6.090213374280056303e-03 1.877339415001983737e-03 4.399270871827027393e-04
6.525955941282061967e-02 5.700151813575469323e-02 3.380568243695435127e-02 1.521156187617863156e-02 5.125316190895247079e-03
1.150669166869880133e-01 1.182887813206194849e-01 8.261335296024349684e-02 4.409741884506023640e-02 1.733474736695002349e-02
4.158699089874337007e-01 5.229826441688247840e-01 4.801042400635522345e-01 3.592438084939545417e-01 1.944683118927891807e-01
7.325998142824143855e-01 8.730486958044735291e-01 8.648560787863930344e-01 7.817589654494564444e-01 5.468579108518532017e-01
7.574853157550828220e-01 8.933286067064649671e-01 8.872197984060105069e-01 8.125683576082690651e-01 5.822826999332593179e-01
9.066593109199658773e-01 9.816425701601423359e-01 9.819006513637326128e-01 9.627383020442682460e-01 8.204891179430993109e-01
9.252674820856170435e-01 9.879414770047688643e-01 9.882696366215746320e-01 9.750233751674991511e-01 8.534986476456345450e-01
9.402710294263961766e-01 9.921247828999631979e-01 9.924294090879766106e-01 9.834101697859092273e-01 8.807351724008457561e-01
9.466299725251615671e-01 9.936468264542268614e-01 9.939250057838954211e-01 9.865177180229039999e-01 8.924637968367229446e-01
9.619870982318123875e-01 9.966823156632791392e-01 9.968705600938569944e-01 9.928290859489566911e-01 9.213158389087118261e-01
9.729772103964720031e-01 9.982779096808982455e-01 9.983925590628829339e-01 9.962261212164431612e-01 9.425267142036543033e-01
9.758911318073663077e-01 9.986173973604338672e-01 9.987131638057338279e-01 9.969586006230408692e-01 9.482523530619000329e-01
9.808192367808538092e-01 9.991098247826433187e-01 9.991756028239812126e-01 9.980289374779973688e-01 9.580588305914603531e-01
9.961883253216193834e-01 9.999601331541202454e-01 9.999636798738432697e-01 9.999096945255105950e-01 9.903950157620141637e-01
9.966070453622947189e-01 9.999680911825545859e-01 9.999709434262871177e-01 9.999276685541519383e-01 9.913554274475467887e-01
