starting_order,greedy_ascent_order,best_order,kendall_tau,spearman_rho,spearman_starting_order,spearman_greedy_ascent
[1 2 3 4 5 6 7 8 9 0],[1 2 3 4 5 6 7 8 9 0],[1 2 3 4 5 6 7 8 9 0],0.6,0.4545454545454545,0.4545454545454545,0.4545454545454545
[1 0 2 3 4 5 6 7 8 9],[1 0 2 3 4 5 6 7 8 9],[1 0 2 3 4 5 6 7 8 9],0.9555555555555554,0.9878787878787878,0.9878787878787878,0.9878787878787878
[1 2 3 4 5 6 7 8 9 0],[1 2 3 4 5 6 7 8 9 0],[1 2 3 4 5 6 7 8 9 0],0.6,0.4545454545454545,0.4545454545454545,0.4545454545454545
[1 0 2 3 4 5 6 7 8 9],[1 0 2 3 4 5 6 7 8 9],[1 0 2 3 4 5 6 7 8 9],0.9555555555555554,0.9878787878787878,0.9878787878787878,0.9878787878787878
[1 0 2 3 4 5 6 7 8 9],[1 0 2 3 4 5 6 7 8 9],[1 0 2 3 4 5 6 7 8 9],0.9555555555555554,0.9878787878787878,0.9878787878787878,0.9878787878787878
[1 0 2 3 4 5 6 7 8 9],[1 0 2 3 4 5 6 7 8 9],[1 0 2 3 4 5 6 7 8 9],0.9555555555555554,0.9878787878787878,0.9878787878787878,0.9878787878787878
