starting_order,greedy_ascent_order,best_order,kendall_tau,spearman_rho,spearman_starting_order,spearman_greedy_ascent
[8 5 6 7 4 3 2 1 0 9],[8 5 6 7 4 3 2 1 0 9],[8 5 6 7 4 3 2 1 0 9],-0.4666666666666666,-0.406060606060606,-0.406060606060606,-0.406060606060606
[8 5 6 4 3 2 0 1 7 9],[8 5 6 4 3 2 0 1 7 9],[8 5 6 4 3 2 0 1 7 9],-0.19999999999999998,-0.09090909090909088,-0.09090909090909088,-0.09090909090909088
[8 5 6 4 3 2 0 1 7 9],[8 5 6 4 3 2 0 1 7 9],[8 5 6 4 3 2 0 1 7 9],-0.19999999999999998,-0.09090909090909088,-0.09090909090909088,-0.09090909090909088
[8 5 6 4 3 2 0 1 7 9],[8 5 6 4 3 2 0 1 7 9],[8 5 6 4 3 2 0 1 7 9],-0.19999999999999998,-0.09090909090909088,-0.09090909090909088,-0.09090909090909088
[8 5 6 4 3 2 0 1 7 9],[8 5 6 4 3 2 0 1 7 9],[8 5 6 4 3 2 0 1 7 9],-0.19999999999999998,-0.09090909090909088,-0.09090909090909088,-0.09090909090909088
[8 5 6 7 4 3 2 1 0 9],[8 5 6 7 4 3 2 1 0 9],[8 5 6 7 4 3 2 1 0 9],-0.4666666666666666,-0.406060606060606,-0.406060606060606,-0.406060606060606
