starting_order,greedy_ascent_order,best_order,kendall_tau,spearman_rho,spearman_starting_order,spearman_greedy_ascent
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 0 2 1],0.022222222222222223,-0.28484848484848485,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 0 2 1],0.022222222222222223,-0.28484848484848485,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 0 2 1],0.022222222222222223,-0.28484848484848485,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 0 2 1],0.022222222222222223,-0.28484848484848485,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 0 2 1],0.022222222222222223,-0.28484848484848485,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 0 2 1],0.022222222222222223,-0.28484848484848485,-0.309090909090909,-0.309090909090909
