,candidate,key,final_lse,n_subtypes,scalar_K,mean_s,mean_f_cluster0,mean_f_cluster1,subtype0_count,subtype1_count,rank
175,191,PPMI_subtyping_grid_191_lambda_f1p000_lambda_cog0p010_lambda_scalar0p500_lambda_jsd0p150_lambda_beta0p200,714.7865021259643,2,2.8834211086564263,0.4553529836926118,0.08837385095118731,0.00514490016935756,93,23,176
176,187,PPMI_subtyping_grid_187_lambda_f1p000_lambda_cog0p010_lambda_scalar0p500_lambda_jsd0p100_lambda_beta0p200,714.7882353039585,2,2.8834211086564263,0.4553529836926118,0.08837385095118731,0.00514490016935756,93,23,177
177,183,PPMI_subtyping_grid_183_lambda_f1p000_lambda_cog0p010_lambda_scalar0p500_lambda_jsd0p050_lambda_beta0p200,714.7899684547389,2,2.8834211086564263,0.4553529836926118,0.08837385095118731,0.00514490016935756,93,23,178
178,179,PPMI_subtyping_grid_179_lambda_f1p000_lambda_cog0p010_lambda_scalar0p500_lambda_jsd0p000_lambda_beta0p200,714.7917015783052,2,2.8834211086564263,0.4553529836926118,0.08837385095118731,0.00514490016935756,93,23,179
179,422,PPMI_subtyping_grid_422_lambda_f1p500_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p050_lambda_beta0p150,715.0221599473862,2,0.0,0.5685430644593077,0.10913769364057094,0.007616847540011381,116,0,180
180,273,PPMI_subtyping_grid_273_lambda_f1p000_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p000_lambda_beta0p100,715.3336837611002,2,0.005963986307474575,0.6077201516730893,0.10668216864266528,0.0194761252437635,116,0,181
181,303,PPMI_subtyping_grid_303_lambda_f1p500_lambda_cog0p010_lambda_scalar0p100_lambda_jsd0p150_lambda_beta0p200,715.4521998577161,2,4.61718001759012,0.4556773972830938,0.04208381023029955,0.0035576620649800253,91,25,182
182,299,PPMI_subtyping_grid_299_lambda_f1p500_lambda_cog0p010_lambda_scalar0p100_lambda_jsd0p100_lambda_beta0p200,715.4531467859078,2,4.61718001759012,0.4556773972830938,0.04208381023029955,0.0035576620649800253,91,25,183
183,295,PPMI_subtyping_grid_295_lambda_f1p500_lambda_cog0p010_lambda_scalar0p100_lambda_jsd0p050_lambda_beta0p200,715.4540937140996,2,4.61718001759012,0.4556773972830938,0.04208381023029955,0.0035576620649800253,91,25,184
184,291,PPMI_subtyping_grid_291_lambda_f1p500_lambda_cog0p010_lambda_scalar0p100_lambda_jsd0p000_lambda_beta0p200,715.4550406422914,2,4.61718001759012,0.4556773972830938,0.04208381023029955,0.0035576620649800253,91,25,185
185,277,PPMI_subtyping_grid_277_lambda_f1p000_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p050_lambda_beta0p100,715.5646923051432,2,0.0,0.57442005353707,0.11195393436729269,0.020538276774165372,116,0,186
186,175,PPMI_subtyping_grid_175_lambda_f1p000_lambda_cog0p010_lambda_scalar0p300_lambda_jsd0p150_lambda_beta0p200,715.6354474367735,2,3.312242229126235,0.45521018408658326,0.0765508040942554,0.006335959100584046,90,26,187
187,171,PPMI_subtyping_grid_171_lambda_f1p000_lambda_cog0p010_lambda_scalar0p300_lambda_jsd0p100_lambda_beta0p200,715.6363886514989,2,3.312242229126235,0.45521018408658326,0.0765508040942554,0.006335959100584046,90,26,188
188,167,PPMI_subtyping_grid_167_lambda_f1p000_lambda_cog0p010_lambda_scalar0p300_lambda_jsd0p050_lambda_beta0p200,715.6373298606202,2,3.312242229126235,0.45521018408658326,0.0765508040942554,0.006335959100584046,90,26,189
189,163,PPMI_subtyping_grid_163_lambda_f1p000_lambda_cog0p010_lambda_scalar0p300_lambda_jsd0p000_lambda_beta0p200,715.6382710641384,2,3.312242229126235,0.45521018408658326,0.0765508040942554,0.006335959100584046,90,26,190
190,418,PPMI_subtyping_grid_418_lambda_f1p500_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p000_lambda_beta0p150,715.8169129031863,2,0.0,0.60724880008527,0.10923256557784822,0.010819584641873983,116,0,191
191,259,PPMI_subtyping_grid_259_lambda_f1p000_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p000_lambda_beta0p200,715.9084581138945,2,0.0,0.48398847579396015,0.17711911859028803,0.0625410498791246,89,27,192
192,335,PPMI_subtyping_grid_335_lambda_f1p500_lambda_cog0p010_lambda_scalar0p500_lambda_jsd0p150_lambda_beta0p200,716.6856329988841,2,3.0888330555471124,0.45621330811501165,0.06368268111033272,0.00450689315829906,92,24,193
193,331,PPMI_subtyping_grid_331_lambda_f1p500_lambda_cog0p010_lambda_scalar0p500_lambda_jsd0p100_lambda_beta0p200,716.6868449834453,2,3.0888330555471124,0.45621330811501165,0.06368268111033272,0.00450689315829906,92,24,194
194,327,PPMI_subtyping_grid_327_lambda_f1p500_lambda_cog0p010_lambda_scalar0p500_lambda_jsd0p050_lambda_beta0p200,716.6880569575027,2,3.0888330555471124,0.45621330811501165,0.06368268111033272,0.00450689315829906,92,24,195
195,323,PPMI_subtyping_grid_323_lambda_f1p500_lambda_cog0p010_lambda_scalar0p500_lambda_jsd0p000_lambda_beta0p200,716.6892689210558,2,3.0888330555471124,0.45621330811501165,0.06368268111033272,0.00450689315829906,92,24,196
196,319,PPMI_subtyping_grid_319_lambda_f1p500_lambda_cog0p010_lambda_scalar0p300_lambda_jsd0p150_lambda_beta0p200,716.8997155832856,2,3.481447936793562,0.456132771130417,0.05522478402586431,0.00453164309459886,91,25,197
197,315,PPMI_subtyping_grid_315_lambda_f1p500_lambda_cog0p010_lambda_scalar0p300_lambda_jsd0p100_lambda_beta0p200,716.9006221429693,2,3.481447936793562,0.456132771130417,0.05522478402586431,0.00453164309459886,91,25,198
198,311,PPMI_subtyping_grid_311_lambda_f1p500_lambda_cog0p010_lambda_scalar0p300_lambda_jsd0p050_lambda_beta0p200,716.901528699195,2,3.481447936793562,0.456132771130417,0.05522478402586431,0.00453164309459886,91,25,199
199,307,PPMI_subtyping_grid_307_lambda_f1p500_lambda_cog0p010_lambda_scalar0p300_lambda_jsd0p000_lambda_beta0p200,716.902435251963,2,3.481447936793562,0.456132771130417,0.05522478402586431,0.00453164309459886,91,25,200
200,426,PPMI_subtyping_grid_426_lambda_f1p500_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p100_lambda_beta0p150,717.0464437798491,2,0.0,0.5936073360867363,0.11157282238842166,0.014225268767724059,116,0,201
201,280,PPMI_subtyping_grid_280_lambda_f1p000_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p100_lambda_beta0p050,717.855637672214,2,0.0,0.5330334080939627,0.11594509516010203,0.00905070067443574,116,0,202
202,2,PPMI_subtyping_2,717.922576717367,2,3.3463191906798953,0.4595647254547711,0.0658979815578092,0.002265294533537795,90,26,203
203,283,PPMI_subtyping_grid_283_lambda_f1p000_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p100_lambda_beta0p200,718.2376151545342,2,0.0,0.5941488355334482,0.11237288772091014,0.007681518015464476,116,0,204
204,263,PPMI_subtyping_grid_263_lambda_f1p000_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p050_lambda_beta0p200,718.589303370173,2,0.0,0.4961264277881103,0.19240289457923695,0.06570815111191453,88,28,205
205,411,PPMI_subtyping_grid_411_lambda_f1p500_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p100_lambda_beta0p200,718.8103131304204,2,0.0,0.5596259535972491,0.1128100348723368,0.022542383907808737,116,0,206
206,405,PPMI_subtyping_grid_405_lambda_f1p500_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p050_lambda_beta0p100,719.2233396175943,2,0.006713938426049595,0.6225990149932307,0.10473949682202656,0.007296618438528465,116,0,207
207,274,PPMI_subtyping_grid_274_lambda_f1p000_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p000_lambda_beta0p150,719.7102535328556,2,0.0,0.594740170225993,0.11377148220438121,0.024619469652768313,116,0,208
208,287,PPMI_subtyping_grid_287_lambda_f1p000_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p150_lambda_beta0p200,719.9756544602277,2,0.0,0.5239435337848511,0.1213974149342396,0.018180019731006348,116,0,209
209,267,PPMI_subtyping_grid_267_lambda_f1p000_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p100_lambda_beta0p200,720.3139217224331,2,0.0,0.522323442285129,0.16866504573649133,0.060067988357652646,94,22,210
210,33,PPMI_subtyping_33,720.3600426107458,2,3.3521468146492523,0.4621953897162971,0.06453273003991067,0.0014599237317847599,91,25,211
211,402,PPMI_subtyping_grid_402_lambda_f1p500_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p000_lambda_beta0p150,720.634255753803,2,0.0,0.601581657830104,0.11140617906561759,0.009604785155503674,116,0,212
212,430,PPMI_subtyping_grid_430_lambda_f1p500_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p150_lambda_beta0p150,720.6782619895704,2,0.007434940316780681,0.5840067992995223,0.1090873631771862,0.007636023838301448,116,0,213
213,27,PPMI_subtyping_27,720.9942347013615,2,3.5182753541452794,0.4628048374332655,0.06070856384493415,0.0012688931650339603,92,24,214
214,279,PPMI_subtyping_grid_279_lambda_f1p000_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p050_lambda_beta0p200,721.1329989866636,2,0.0,0.4759726716658236,0.19014228120511065,0.070083019620027,88,28,215
215,266,PPMI_subtyping_grid_266_lambda_f1p000_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p100_lambda_beta0p150,722.1273366589988,2,0.0,0.557750797265469,0.11644023670416837,0.008502431560647408,116,0,216
216,276,PPMI_subtyping_grid_276_lambda_f1p000_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p050_lambda_beta0p050,722.3914160748024,2,0.0,0.5266150393819042,0.1201218146830296,0.015357204488145034,116,0,217
217,281,PPMI_subtyping_grid_281_lambda_f1p000_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p100_lambda_beta0p100,722.4973290567351,2,0.0,0.5498744814953744,0.11922921637743329,0.03015621820513103,116,0,218
218,138,PPMI_subtyping_grid_138_lambda_f0p500_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p100_lambda_beta0p150,723.1043218016016,2,0.0,0.5178101605423517,0.21620216107635631,0.06843152718546963,89,27,219
219,10,PPMI_subtyping_10,723.3591969312855,2,3.471454488000899,0.46856390182501884,0.06292661107032621,0.0012581105522038588,91,25,220
220,275,PPMI_subtyping_grid_275_lambda_f1p000_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p000_lambda_beta0p200,724.318927239098,2,0.0,0.5192704245450258,0.12589197680350725,0.007175669800440214,116,0,221
221,143,PPMI_subtyping_grid_143_lambda_f0p500_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p150_lambda_beta0p200,724.3804291005414,2,0.0,0.48789926440774567,0.20574687767745192,0.06915252909980628,89,27,222
222,25,PPMI_subtyping_25,725.0620857546637,2,3.474279093933231,0.479077608171256,0.08433046779463972,0.001958442793665983,87,29,223
223,264,PPMI_subtyping_grid_264_lambda_f1p000_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p100_lambda_beta0p050,725.6691800609476,2,0.0,0.6050644436950912,0.11687489347046084,0.02769562746189845,116,0,224
224,31,PPMI_subtyping_31,725.7488939454582,2,3.514344741331763,0.47364404465255155,0.060236969651871156,0.0008615629901559561,92,24,225
225,127,PPMI_subtyping_grid_127_lambda_f0p500_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p150_lambda_beta0p200,726.277143607104,2,0.0,0.5220008654320959,0.21502946417951008,0.06750492569597179,88,28,226
226,12,PPMI_subtyping_12,727.0221594896267,2,3.6373903725863292,0.5109086722658873,0.055812450580350635,0.007019635977381512,86,30,227
227,116,PPMI_subtyping_grid_116_lambda_f0p500_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p050_lambda_beta0p050,728.164002783456,2,0.0,0.49331235263308787,0.20867309820656976,0.06868647048003862,88,28,228
228,257,PPMI_subtyping_grid_257_lambda_f1p000_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p000_lambda_beta0p100,728.2570279042761,2,0.0,0.599413102228819,0.11776503803853794,0.034815297644179885,116,0,229
229,285,PPMI_subtyping_grid_285_lambda_f1p000_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p150_lambda_beta0p100,728.4744902147181,2,0.0,0.5426523153083747,0.12263120269150891,0.016018455359504174,116,0,230
230,260,PPMI_subtyping_grid_260_lambda_f1p000_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p050_lambda_beta0p050,729.5522165849725,2,0.0,0.5754468442500498,0.11932439487980101,0.01136776692061349,116,0,231
231,136,PPMI_subtyping_grid_136_lambda_f0p500_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p100_lambda_beta0p050,729.8939563666016,2,0.0,0.4740357437386736,0.2290476340794386,0.07169881191578066,88,28,232
232,133,PPMI_subtyping_grid_133_lambda_f0p500_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p050_lambda_beta0p100,732.7324206884941,2,0.0,0.48361720510540934,0.22487731573872538,0.08578496023000586,88,28,233
233,269,PPMI_subtyping_grid_269_lambda_f1p000_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p150_lambda_beta0p100,733.0343390257027,2,0.0,0.5270194794080088,0.12512689424976078,0.015362302150182531,116,0,234
234,23,PPMI_subtyping_23,734.7071939991695,2,4.972291199592915,0.8743224250173672,0.003076307411149849,0.026436676353774686,91,25,235
235,30,PPMI_subtyping_30,735.0867182486097,2,5.122767630143273,0.8878667009464072,0.004268041480045323,0.02645940173830316,95,21,236
236,3,PPMI_subtyping_3,735.5436153599479,2,5.381989242358386,0.9718244297319373,0.0028214330093361533,0.02743779691727482,94,22,237
237,282,PPMI_subtyping_grid_282_lambda_f1p000_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p100_lambda_beta0p150,737.4081443067344,2,0.0,0.5836066985773316,0.1340868609443627,0.05289813829408071,114,2,238
238,137,PPMI_subtyping_grid_137_lambda_f0p500_lambda_cog0p100_lambda_scalar0p500_lambda_jsd0p100_lambda_beta0p100,737.5884277925439,2,0.0,0.5626350357331741,0.1283072305745713,0.03429832487177567,116,0,239
239,126,PPMI_subtyping_grid_126_lambda_f0p500_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p150_lambda_beta0p150,738.4088575917442,2,0.0,0.47618203119385805,0.22981266938681535,0.07138217222046994,88,28,240
240,112,PPMI_subtyping_grid_112_lambda_f0p500_lambda_cog0p100_lambda_scalar0p300_lambda_jsd0p000_lambda_beta0p050,739.8201420372202,2,0.0,0.5108895890664554,0.21681421543838553,0.06606519564361517,91,25,241
